v1,v2,v3,v4,v5,v6,v7,v8,v9,v10,v11,v12,v13,v14,v15,v16,v17,v18,v19,v20,v21,v22,v23,v24,v25,v26,v27,v28,v29,v30,v31,v32,v33,v34,v35,v36,v37,v38,v39,v40,v41,v42,v43,v44,v45,v46,v47,v48,v49,v50,v51,v52
136.3659,-219.2839,-223.0867,46.8899,105.4707,-160.9162,-60.3912,208.1245,54.3352,-49.1320,-33.5178,-336.6349,52.0051,28.4676,-91.4801,-88.6546,-109.3244,-254.4652,153.5473,11.8659,80.4149,39.2931,-21.5813,92.5489,63.3018,37.8847,-401.5005,185.2536,-337.8877,35.9729,-131.4676,125.0011,-370.0935,67.7724,174.1123,-93.5976,219.5240,-41.6965,56.5633,6.9968,-177.1405,173.6411,-234.6500,191.5937,-38.3080,261.0153,-177.7904,95.0311,-333.5178,55.6709,-357.6929,-60.4331
136.4392,-218.4008,-220.5430,51.4897,105.7966,-159.1763,-54.9652,209.7751,57.1232,-42.9079,-32.3737,-334.8253,52.5384,29.4962,-85.4514,-86.0770,-103.3975,-254.0940,152.1034,8.7997,80.2810,40.2816,-20.3224,97.2037,68.2915,37.3299,-401.2132,183.1178,-339.9427,33.1239,-131.6805,124.5357,-366.5851,72.6456,171.1073,-96.2718,214.8635,-45.9689,53.1423,5.1751,-176.7353,172.6241,-236.7028,187.8650,-43.2940,257.1120,-182.2502,94.1830,-336.3665,50.9880,-360.2431,-63.4148
137.9296,-215.8996,-221.4912,44.9158,104.6899,-161.5351,-64.8797,213.6316,59.5678,-51.9844,-37.5607,-341.1724,51.7416,31.3334,-92.4696,-79.4522,-108.1765,-246.6056,152.1515,13.0994,76.2753,37.2765,-17.9880,95.9659,67.5249,47.8736,-406.5490,180.9305,-341.7380,34.5626,-132.3559,130.7267,-367.5245,65.7379,174.0389,-97.4774,216.7779,-44.4281,54.7126,7.6717,-175.8612,178.1701,-237.9758,186.3023,-40.7396,257.4337,-175.6485,94.3834,-335.4926,54.5099,-360.9772,-60.9711
136.9125,-218.0114,-221.8311,47.6768,105.0300,-161.3299,-61.0772,211.0388,57.7083,-48.0929,-34.9148,-338.6276,51.4388,29.3649,-90.2832,-83.8267,-106.7021,-250.9236,152.8332,11.4432,78.3658,38.1687,-20.0988,95.4397,66.8949,42.1991,-403.4955,183.4342,-340.1403,34.3033,-132.7514,126.6474,-368.6240,68.3838,173.9756,-95.2921,217.9268,-44.0386,53.9691,5.5210,-177.5910,174.9907,-236.0858,189.3328,-40.6032,257.9582,-179.5287,93.7265,-334.9603,54.0215,-360.4420,-62.2581
135.7783,-219.4196,-221.6255,50.3606,105.1893,-160.6554,-57.2293,208.1151,55.7226,-44.1063,-32.7046,-335.8828,50.8988,27.1419,-88.3185,-87.8983,-104.7978,-254.2381,152.3402,8.6909,78.9348,37.8675,-22.6202,95.2693,67.1847,37.4660,-401.0920,183.4730,-340.3019,32.3118,-132.9650,123.9177,-367.1386,72.3128,172.0721,-95.2872,216.0322,-45.1003,53.7041,5.6791,-176.4159,173.2017,-235.5541,189.6606,-41.4794,258.7407,-180.8419,94.9557,-334.9433,52.8605,-358.7981,-62.0045
127.0938,-230.0098,-221.5089,66.3571,103.3410,-159.8755,-35.3333,192.4219,46.5382,-19.3254,-21.6492,-322.8129,46.2311,15.8589,-72.0351,-106.5133,-90.3907,-273.3633,148.7392,-7.9853,84.7447,42.9783,-28.6934,101.6558,72.9246,10.6004,-387.8560,186.1214,-336.5536,29.9532,-125.4285,113.7167,-357.5811,95.6083,162.2340,-92.9588,210.9823,-45.2261,56.8111,7.2131,-170.6779,161.7582,-231.5621,195.5501,-44.2874,264.0820,-191.1791,100.0154,-335.0955,46.0654,-351.4478,-63.5433
133.7402,-221.8404,-221.7267,53.7030,104.7770,-160.4166,-52.3838,204.6184,53.6962,-38.7319,-30.3164,-332.8124,50.2210,25.0705,-84.3473,-91.6125,-101.4746,-258.4319,151.4358,5.1600,80.7616,39.9443,-23.0059,97.2466,68.6498,31.5087,-398.3062,183.9597,-338.9878,32.8824,-130.1756,122.2377,-364.9158,77.2544,169.5819,-95.0308,215.0513,-44.3633,55.2290,6.2805,-175.1774,170.4623,-234.9163,190.9670,-41.6235,260.4104,-182.8676,95.9199,-334.9557,51.5533,-356.8662,-62.2668
124.2819,-233.2749,-220.8716,72.5574,102.7062,-159.2661,-26.8820,187.3375,43.5834,-10.2122,-17.8677,-318.2770,44.4085,11.8846,-65.9323,-113.2280,-85.3630,-280.3432,147.0853,-14.7484,86.0843,44.1559,-31.5101,103.2345,74.3400,0.5474,-383.4620,186.2603,-335.8541,28.5804,-123.2826,109.1914,-354.7940,103.5040,158.3204,-92.4654,208.9755,-44.9941,58.2150,7.5617,-169.0825,157.2279,-230.1009,197.9644,-44.5957,266.7101,-194.5769,101.7572,-334.7024,44.2852,-348.0309,-63.5883
152.3427,-199.4354,-223.2088,17.1559,108.5969,-162.7780,-101.7254,238.5363,73.2516,-94.4515,-54.7424,-361.6197,61.0893,50.5202,-120.5040,-50.4270,-133.5351,-216.3690,159.8789,43.5497,70.1541,31.2879,-7.4756,84.4613,56.7831,91.2739,-427.1132,179.9760,-344.6001,41.6377,-143.7673,147.3280,-384.9380,26.1655,191.9924,-99.2061,227.9813,-42.4490,50.0200,4.3628,-186.7248,196.4724,-243.8473,177.9504,-35.7686,248.3466,-159.8869,85.0424,-335.4636,65.6023,-374.3711,-59.5972
145.3799,-207.7931,-222.6058,30.9585,107.2058,-161.6354,-82.7976,225.5931,65.6523,-73.4076,-45.5248,-350.6262,57.0522,40.9849,-106.7837,-66.2290,-121.4202,-232.3348,156.5068,28.7186,73.9331,34.5249,-13.2490,89.4541,61.4049,68.6384,-416.2315,181.1964,-342.6669,38.1529,-138.3863,138.1385,-376.9363,45.7372,183.4001,-97.6069,223.0132,-43.1975,51.9684,5.2301,-182.1079,186.6912,-240.2950,183.0181,-37.9485,252.6944,-168.7092,89.1680,-335.0925,60.2525,-367.7858,-60.7643
